Archive_Date,Adult_Child,Age_Profile,Case_Type,Speciality_Name,Specialty_HIPE,Time_Bands,Total,Source.Name
23-05-2018,Adult,65+,Day Case,Cardiology,H07,18+ Months,141,Hospital_DB_Extract.xlsx
12-10-2019,Adult,16-64,Outpatient,General Surgery,H06,6-9 Months,99,Hospital_DB_Extract.xlsx
01-04-2020,Adult,16-64,Outpatient,Cardiology,H07,15-18 Months,146,Hospital_DB_Extract.xlsx
27-11-2018,Adult,16-64,Outpatient,Ophthalmology,H08,12-15 Months,112,Hospital_DB_Extract.xlsx
14-08-2018,Adult,65+,Outpatient,General Surgery,H06,9-12 Months,138,Hospital_DB_Extract.xlsx
25-05-2019,Adult,16-64,Outpatient,General Surgery,H06,15-18 Months,39,Hospital_DB_Extract.xlsx
06-12-2020,Child,0-15,Day Case,Paed Orthopaedic,H03,18+ Months,67,Hospital_DB_Extract.xlsx
20-05-2018,Child,0-15,Outpatient,Paediatric Dermatology,H04,18+ Months,52,Hospital_DB_Extract.xlsx
19-03-2020,Adult,16-64,Inpatient,General Surgery,H06,15-18 Months,12,Hospital_DB_Extract.xlsx
20-06-2018,Adult,65+,Outpatient,General Surgery,H06,3-6 Months,78,Hospital_DB_Extract.xlsx
08-05-2019,Child,0-15,Outpatient,Paed Orthopaedic,H03,0-3 Months,129,Hospital_DB_Extract.xlsx
23-02-2020,Adult,16-64,Outpatient,Cardiology,H07,18+ Months,50,Hospital_DB_Extract.xlsx
03-06-2018,Adult,65+,Inpatient,Ophthalmology,H08,15-18 Months,139,Hospital_DB_Extract.xlsx
27-01-2019,Child,0-15,Outpatient,Paediatric Dermatology,H04,18+ Months,106,Hospital_DB_Extract.xlsx
14-08-2020,Child,0-15,Inpatient,Ophthalmology,H08,0-3 Months,97,Hospital_DB_Extract.xlsx
03-09-2018,Child,0-15,Inpatient,Paediatric Urology,H05,9-12 Months,33,Hospital_DB_Extract.xlsx
17-05-2020,Child,0-15,Outpatient,Paediatric Dermatology,H04,18+ Months,128,Hospital_DB_Extract.xlsx
09-09-2019,Adult,16-64,Outpatient,Cardiology,H07,12-15 Months,17,Hospital_DB_Extract.xlsx
26-11-2018,Child,0-15,Outpatient,Ophthalmology,H08,0-3 Months,146,Hospital_DB_Extract.xlsx
23-01-2020,Child,0-15,Outpatient,Paediatric Urology,H05,9-12 Months,104,Hospital_DB_Extract.xlsx
09-08-2019,Child,0-15,Outpatient,Paediatric Urology,H05,9-12 Months,62,Hospital_DB_Extract.xlsx
08-04-2018,Adult,16-64,Outpatient,Orthopaedics,H01,6-9 Months,128,Hospital_DB_Extract.xlsx
25-12-2019,Adult,65+,Outpatient,Ophthalmology,H08,18+ Months,114,Hospital_DB_Extract.xlsx
